year,old_care_vir,young_care_vir,old_fare_vir,young_fare_vir,old_loya_vir,young_loya_vir,old_auth_vir,young_auth_vir,old_sanc_vir,young_sanc_vir,old_care_vic,young_care_vic,old_fare_vic,young_fare_vic,old_loya_vic,young_loya_vic,old_auth_vic,young_auth_vic,old_sanc_vic,young_sanc_vic,old_care,old_fare,old_loya,old_auth,old_sanc,old_virtue,old_vice,young_care,young_fare,young_loya,young_auth,young_sanc,young_virtue,young_vice
1971,0.20602879,0.29360917,-0.2361405,-0.12773469,-0.0304669,0.3362649,0.12939778,0.31691122,0.0061972737,0.16585451,-0.0024887687,-0.019791868,0.10725824,0.03940792,0.022362672,0.040894385,-0.08198304,-0.017245753,-0.08031726,0.058090653,-0.0024887687,0.10725824,0.022362672,-0.08198304,-0.08031726,0.01500328779220581,-0.007033629715442658,-0.019791868,0.03940792,0.040894385,-0.017245753,0.058090653,0.19698102474212648,0.020271068811416625
1972,0.21232381,0.26753488,-0.30926728,-0.18728508,-0.12106209,0.3040657,0.08024353,0.2680422,0.014001689,0.22063418,-0.008032845,-0.11685954,0.090992585,-0.030874388,-0.01608228,-0.0034255013,-0.035939805,-0.06197183,-0.03586698,-0.021896016,-0.008032845,0.090992585,-0.01608228,-0.035939805,-0.03586698,-0.024752070009708405,-0.0009858645498752594,-0.11685954,-0.030874388,-0.0034255013,-0.06197183,-0.021896016,0.17459837198257447,-0.047005456686019895
1973,0.19431269,0.26726907,-0.28438336,-0.18090785,-0.10210635,0.19805238,0.063645385,0.25946593,0.013732046,0.18043453,0.043109618,-0.15647376,0.15041076,0.014806416,0.06738356,-0.0621557,-0.02235878,-0.1726684,0.0020235535,-0.0864068,0.043109618,0.15041076,0.06738356,-0.02235878,0.0020235535,-0.022959917783737183,0.04811373949050903,-0.15647376,0.014806416,-0.0621557,-0.1726684,-0.0864068,0.1448628067970276,-0.09257964491844177
1974,0.1950331,0.24392986,-0.3036182,-0.16878098,-0.11428245,0.22410499,0.033810508,0.223629,0.0018759966,0.1446487,0.0977682,-0.09340724,0.19712916,-0.006898232,0.042666893,-0.13276587,0.06399189,-0.09656518,0.03170721,-0.08480429,0.0977682,0.19712916,0.042666893,0.06399189,0.03170721,-0.03743620812892914,0.08665266633033752,-0.09340724,-0.006898232,-0.13276587,-0.09656518,-0.08480429,0.13350632190704345,-0.08288816809654236
1975,0.20419037,0.22554398,-0.28554776,-0.169022,-0.10130647,0.18102181,0.07110426,0.19501896,0.1122081,0.11325416,-0.020770926,-0.14545411,-0.034934692,-0.123222575,-0.040024787,-0.08312014,-0.0903589,-0.098058194,-0.040710576,-0.10697994,-0.020770926,-0.034934692,-0.040024787,-0.0903589,-0.040710576,0.00012969970703125,-0.0453599750995636,-0.14545411,-0.123222575,-0.08312014,-0.098058194,-0.10697994,0.10916337966918946,-0.11136698722839355
1976,0.22297126,0.23847203,-0.2690229,-0.07692778,-0.03177552,0.16357198,0.1479407,0.20640016,0.22476377,0.14359023,-0.07072246,-0.123432234,0.009405717,0.0497292,-0.13352183,-0.1220118,-0.26443607,-0.21922699,-0.109523535,-0.10751718,-0.07072246,0.009405717,-0.13352183,-0.26443607,-0.109523535,0.0589754581451416,-0.11375963687896729,-0.123432234,0.0497292,-0.1220118,-0.21922699,-0.10751718,0.13502131700515746,-0.10449180603027344
1977,0.25236532,0.26157045,-0.25046897,-0.07631021,0.0066787396,0.29909015,0.13538729,0.26043263,0.18862885,0.2415335,-0.031443655,-0.09555113,0.14614353,0.12762824,0.053357497,0.048623573,-0.16775191,-0.10495959,-0.05038244,-0.02353862,-0.031443655,0.14614353,0.053357497,-0.16775191,-0.05038244,0.06651824712753296,-0.010015396028757095,-0.09555113,0.12762824,0.048623573,-0.10495959,-0.02353862,0.19726331233978273,-0.009559506177902221
1978,0.13274074,0.27984238,-0.24787608,-0.115974344,0.060499843,0.33205086,0.16502908,0.30957264,0.24205764,0.39417192,0.05074165,-0.017658314,0.14926162,0.0977398,0.1290453,0.117379576,-0.051192097,-0.09763271,0.08561203,0.08156132,0.05074165,0.14926162,0.1290453,-0.051192097,0.08561203,0.07049024105072021,0.07269369959831237,-0.017658314,0.0977398,0.117379576,-0.09763271,0.08156132,0.23993270397186278,0.03627793490886688
1979,0.16913137,0.27599248,-0.28993836,-0.1761899,0.06444253,0.3248222,0.121977106,0.2554565,0.33103752,0.43019664,0.015904807,-0.005265981,0.15704407,0.16464898,0.09268532,0.14216445,-0.09845639,-0.051779944,0.08365017,0.09160022,0.015904807,0.15704407,0.09268532,-0.09845639,0.08365017,0.07933003306388856,0.05016559362411499,-0.005265981,0.16464898,0.14216445,-0.051779944,0.09160022,0.22205557823181152,0.06827355027198792
1980,0.17865734,0.30226198,-0.19850089,-0.11041407,0.046337597,0.29388046,0.123864554,0.24106419,0.32921904,0.47227058,0.09115831,0.04469466,0.2767561,0.2593003,0.11797452,0.11450799,-0.0037916452,-0.02873209,0.25157425,0.23495719,0.09115831,0.2767561,0.11797452,-0.0037916452,0.25157425,0.09591553211212159,0.14673430919647218,0.04469466,0.2593003,0.11450799,-0.02873209,0.23495719,0.23981263637542724,0.12494560480117797
