year,oa_care_vic,ya_care_vic,oa_care_vir,ya_care_vir,oa_loya_vic,ya_loya_vic,oa_loya_vir,ya_loya_vir,oa_auth_vic,ya_auth_vic,oa_auth_vir,ya_auth_vir,oa_sanc_vic,ya_sanc_vic,oa_sanc_vir,ya_sanc_vir,oa_fare_vic,ya_fare_vic,oa_fare_vir,ya_fare_vir,oa_care,oa_loya,oa_auth,oa_sanc,oa_fare,oa_virtue,oa_vice,ya_care,ya_loya,ya_auth,ya_sanc,ya_fare,ya_virtue,ya_vice,ya_diff,ya_sum
1973,0.19426021,-0.085360445,-0.06221267,0.050491847,0.15089399,-0.027325088,-0.19851686,0.076175526,-0.059181258,-0.22591436,-0.14208195,-0.10591338,-0.012179092,-0.12128818,-0.09673086,0.06256723,-0.0023559853,-0.00425718,-0.2565958,-0.119636886,-0.2564729,-0.34941083,-0.08290069,-0.08455177,-0.2542398,-0.15122762,0.054287575,0.13585229,0.10350061,0.12000098,0.18385541,-0.115379706,-0.039138753,-0.052208543,0.01306979,-0.09134729
1974,0.32164493,0.016493417,-0.043675847,0.0505021,0.08235645,-0.113683835,-0.2087597,0.117031485,0.05137324,-0.15227908,-0.011610808,-0.076182425,0.0031167604,-0.1212401,-0.091839075,0.022412807,0.19092545,0.11700924,-0.26023078,-0.08619322,-0.36532077,-0.29111615,-0.06298405,-0.09495583,-0.45115623,-0.12322323,0.12988336,0.03400868,0.23071532,0.076096654,0.14365292,-0.20320246,-0.030198159,-0.028557317,-0.0016408414,-0.058755476
1975,0.092231095,-0.105933934,-0.060236916,0.02541896,0.016958073,-0.11298982,-0.22791755,0.05706364,-0.16627431,-0.15821059,-0.1062839,-0.12091526,-0.0065161064,-0.091004014,0.051188134,0.07585906,-0.051797055,0.019581333,-0.2671419,-0.15479265,-0.15246801,-0.24487562,0.059990406,0.05770424,-0.21534485,-0.12207843,-0.02307966,0.1313529,0.17005345,0.037295334,0.16686308,-0.17437398,-0.0575473,-0.07193316,0.014385857,-0.12948045
1976,-0.0021641813,-0.094305426,-0.032809477,0.07799655,-0.054232758,-0.2639528,-0.24148129,-0.010954801,-0.23612288,-0.25359282,-0.06594737,0.033717204,-0.09867088,-0.13805997,0.110965,0.09286439,-0.01116218,0.039688073,-0.21129194,-0.041295823,-0.030645296,-0.18724853,0.17017551,0.20963588,-0.20012976,-0.088113025,-0.08047058,0.17230198,0.252998,0.28731003,0.23092437,-0.08098389,-0.014858961,-0.1274093,0.11255033,-0.14226826
1977,0.019385196,-0.076123774,0.048854083,0.08888079,0.020053716,-0.116979964,-0.16368634,0.103721626,-0.18559845,-0.20193271,-0.055939857,0.00656398,-0.08406427,-0.10164791,0.11327466,0.14153498,0.056652233,0.2290312,-0.19430543,-0.023872443,0.029468887,-0.18374005,0.1296586,0.19733894,-0.25095767,-0.05036057,-0.034714315,0.16500457,0.22070159,0.20849669,0.2431829,-0.25290364,0.025523767,-0.04126657,0.06679034,-0.015742805
1978,0.16709967,0.048398644,-0.06678016,0.066926,0.20138156,0.12649763,-0.08177204,0.19956315,-0.19834432,-0.20090866,-0.05300661,0.017498542,0.025806539,0.041174203,0.15371498,0.29725403,0.07107928,0.07040854,-0.23107964,-0.077270746,-0.23387983,-0.2831536,0.1453377,0.12790844,-0.30215892,-0.05578469,0.053404547,0.018527359,0.07306552,0.2184072,0.25607982,-0.14767928,0.070366494,0.047825318,0.022541177,0.11819181
1979,0.10220959,0.07641002,-0.09075394,0.042106565,0.14000468,0.048307113,-0.031105287,0.21426985,-0.10259231,-0.11622891,-0.075040706,-0.006862427,0.084579475,0.076265305,0.22203295,0.32224417,0.053682894,0.15307154,-0.23207916,-0.07922151,-0.19296354,-0.17110997,0.027551606,0.13745347,-0.28576207,-0.04138923,0.05557686,-0.034303453,0.16596273,0.109366484,0.24597886,-0.23229304,0.07690523,0.06297162,0.013933606,0.13987684
1980,0.25711548,0.16082904,-0.05903764,0.072722584,0.21281025,0.08952602,-0.062064804,0.19718853,-0.07031933,-0.11445695,-0.0841618,-0.0023257602,0.3177692,0.2634867,0.22728711,0.35071945,0.16189602,0.21383595,-0.16693099,-0.02743188,-0.3161531,-0.27487504,-0.013842471,-0.090482086,-0.32882702,-0.028981622,0.17585433,-0.08810645,0.10766251,0.11213119,0.08723274,-0.24126783,0.08813468,0.13767184,-0.04953716,0.22580653
1981,0.2984506,0.16313046,0.06502691,0.106162965,0.34755898,0.1052724,0.043607146,0.23643869,-0.07273248,-0.1244931,-0.13123652,-0.051461738,0.25251245,0.18211368,0.25578195,0.34058946,0.18222007,0.19348839,-0.18702497,-0.04336315,-0.23342368,-0.30395183,-0.058504045,0.0032694936,-0.36924505,0.009230902,0.20160194,-0.056967497,0.1311663,0.073031366,0.15847579,-0.23685154,0.105328895,0.1445118,-0.03918291,0.2498407
1982,0.25620872,0.13645831,0.028583366,0.10435898,0.28352892,0.17380694,0.058147907,0.25778633,-0.038968105,-0.10743812,-0.07736872,0.01963593,0.307683,0.24331628,0.24543276,0.33562303,0.18723226,0.20394138,-0.18576774,-0.061548077,-0.22762536,-0.22538102,-0.038400616,-0.062250227,-0.373,0.013805514,0.19913696,-0.03209933,0.0839794,0.12707405,0.09230675,-0.26548946,0.11900068,0.15560228,-0.036601596,0.27460295
1983,0.31924796,0.12934357,0.032810163,0.09803842,0.23456012,0.1094609,0.06348044,0.2656396,-0.031098515,-0.12944831,-0.09968541,0.008790784,0.3029083,0.20591798,0.28166527,0.3657522,0.2706462,0.27994835,-0.14051905,0.0059948564,-0.2864378,-0.17107968,-0.06858689,-0.021243036,-0.41116527,0.02755028,0.21925282,-0.03130515,0.15617871,0.13823909,0.1598342,-0.2739535,0.13461605,0.1382971,-0.0036810488,0.27291316
1984,0.4120346,0.13062418,-0.020951726,0.067632124,0.37108487,0.09357548,0.08348873,0.25077963,0.05121015,-0.08844679,-0.08731169,-0.036052622,0.47478282,0.26984486,0.28381497,0.30160606,0.13561834,0.12393798,-0.15415728,-0.079627566,-0.43298632,-0.28759614,-0.13852185,-0.19096786,-0.2897756,0.020976603,0.28894615,-0.06299205,0.15720415,0.052394167,0.0317612,-0.20356554,0.09797105,0.15010343,-0.052132383,0.24807449
1985,0.35152096,0.09653203,0.049070816,0.047197044,0.48166227,0.25212264,0.10084338,0.25763538,0.04402246,-0.09707974,0.021194091,0.05911155,0.3889934,0.19411589,0.35373294,0.40992537,0.28218102,0.15675355,-0.091172315,-0.031279393,-0.30245015,-0.3808189,-0.022828368,-0.03526047,-0.37335333,0.08673377,0.30967602,-0.049334988,0.005512744,0.15619129,0.21580948,-0.18803295,0.14057222,0.18068445,-0.040112227,0.32125667
1986,0.2795458,0.111193866,-0.015319563,0.05250038,0.42856753,0.31874096,0.10213041,0.2771936,0.19230969,0.025214171,-0.057971932,0.023269683,0.42618197,0.28606907,0.36481535,0.45762217,0.3638379,0.31412178,-0.14092626,0.020738624,-0.29486537,-0.32643712,-0.25028163,-0.061366618,-0.50476414,0.05054561,0.33808857,-0.058693487,-0.041547358,-0.0019444879,0.1715531,-0.29338315,0.15557581,0.24731791,-0.0917421,0.40289372
1987,0.39383295,0.20624861,-0.007555034,0.05572804,0.4893278,0.3306387,0.1009521,0.29399827,0.3835405,0.14445823,-0.014265999,0.051693436,0.4115591,0.26744157,0.34057906,0.37789583,0.25687438,0.24243635,-0.16409558,0.004776437,-0.401388,-0.3883757,-0.39780653,-0.07098004,-0.42096996,0.05112291,0.38702694,-0.15052056,-0.036640435,-0.092764795,0.11045426,-0.23765992,0.14750735,0.28009188,-0.13258453,0.42759925
1988,0.32100523,0.16377634,0.020461682,0.039993316,0.4588005,0.2680722,0.14910847,0.30789015,0.14840353,0.036931228,-0.0022507515,-0.0023923442,0.44752073,0.24286538,0.39061356,0.3653794,0.370713,0.311168,-0.11544551,-0.012668405,-0.30054355,-0.30969203,-0.15065427,-0.056907177,-0.4861585,0.0884975,0.3492886,-0.12378302,0.03981796,-0.039323572,0.12251401,-0.3238364,0.14121842,0.2469356,-0.10571718,0.38815403
1989,0.2056068,0.112185426,-0.026388815,0.05788935,0.3614636,0.2677169,0.056194663,0.25155804,-0.056190673,-0.034854818,-0.09819432,-0.019165859,0.3353061,0.3064854,0.33836913,0.39130265,0.22779201,0.22699618,-0.18458846,-0.021661844,-0.23199561,-0.30526894,-0.04200365,0.003063023,-0.41238046,0.01707844,0.21479556,-0.054296076,-0.016158879,0.01568896,0.08481723,-0.24865803,0.11935284,0.20666544,-0.0873126,0.32601827
1990,0.3031761,0.1389813,-0.045126427,0.051284328,0.39171505,0.26801434,0.01775691,0.17597714,-0.079575986,-0.022475742,-0.11884594,-0.07677252,0.31921405,0.2154486,0.28744853,0.37084916,0.12321002,0.18211868,-0.19609767,-0.07163862,-0.34830254,-0.37395814,-0.039269954,-0.03176552,-0.31930768,-0.01097292,0.21154785,-0.08769697,-0.0920372,-0.054296777,0.15540056,-0.2537573,0.0779094,0.19563371,-0.11772431,0.27354312
1991,0.39569056,0.23839132,-0.013245538,0.0092492215,0.2978458,0.18039146,0.06206083,0.2352756,0.015111216,0.038360864,-0.01930584,-0.019431682,0.44144738,0.27391267,0.30989432,0.4115344,0.13561544,0.116780266,-0.17929143,-0.045764327,-0.40893608,-0.23578498,-0.034417056,-0.13155305,-0.31490687,0.03202247,0.2571421,-0.2291421,0.054884136,-0.057792544,0.13762173,-0.1625446,0.10882068,0.19094706,-0.08212638,0.29976773
1992,0.40212587,0.2113473,-0.016142499,0.03173171,0.43926394,0.30955416,0.18366495,0.3205053,0.12122631,0.12850171,-0.0024447907,-0.011318222,0.5870156,0.42664036,0.42757508,0.4427195,0.1895383,0.15446737,-0.15270974,-0.08023226,-0.41826835,-0.255599,-0.1236711,-0.15944055,-0.34224802,0.0879886,0.34783402,-0.17961559,0.010951132,-0.13981993,0.016079128,-0.23469964,0.14784516,0.27829581,-0.13045065,0.42614096
1993,0.35622773,0.20533605,0.024676014,0.06889052,0.6488198,0.48256546,0.20084405,0.29437423,0.39096767,0.12320828,-0.08434281,-0.045159847,0.5765943,0.42395067,0.43168953,0.48799485,0.1396656,0.11806593,-0.1630586,-0.047519363,-0.3315517,-0.44797575,-0.47531047,-0.14490476,-0.30272418,0.08196165,0.422455,-0.13644552,-0.18819124,-0.16836813,0.06404418,-0.1655853,0.15990405,0.3336577,-0.17375366,0.49356174
1994,0.47089458,0.2560454,-0.009746186,0.0070610903,0.50064427,0.33668464,0.17396814,0.2504671,0.14711817,0.045311365,-0.056450076,-0.050051223,0.60684204,0.428811,0.36722144,0.41246772,0.11658882,0.017068101,-0.17372401,-0.11286379,-0.48064077,-0.32667613,-0.20356825,-0.2396206,-0.29031283,0.06025386,0.36841756,-0.2489843,-0.08621755,-0.09536259,-0.016343296,-0.12993188,0.11350817,0.2640941,-0.15058595,0.37760228
1995,0.43659753,0.20433877,0.0033705924,0.04449745,0.41099575,0.16741116,0.14231977,0.24989976,0.12161904,-0.072356835,-0.12638533,-0.161675,0.4189029,0.21994796,0.34128958,0.35732746,0.10243122,0.006801948,-0.21188182,-0.06736415,-0.43322694,-0.26867598,-0.24800438,-0.077613324,-0.31431305,0.029742563,0.2981093,-0.15984133,0.0824886,-0.08931817,0.1373795,-0.0741661,0.09416754,0.1561898,-0.06202226,0.25035733
1996,0.34001353,0.16604726,-0.06743202,-0.014020115,0.438508,0.30149543,0.054443393,0.22442916,-0.029281478,-0.17529784,-0.14228237,-0.12227674,0.4033783,0.29121417,0.26518166,0.35202506,0.2359775,0.17594749,-0.20655815,-0.09088312,-0.40744555,-0.3840646,-0.113000885,-0.13819665,-0.44253564,-0.019329498,0.2777192,-0.18006738,-0.07706627,0.053021103,0.060810894,-0.26683062,0.067286275,0.19965239,-0.13236612,0.26693866
1997,0.3377483,0.16297862,0.016266868,0.014484876,0.47861752,0.32827276,0.11337597,0.22802216,0.122375794,0.02216217,-0.09022437,-0.12602049,0.3882909,0.25957587,0.29507485,0.3323968,0.15738252,0.0653975,-0.18633594,-0.10235076,-0.3214814,-0.36524156,-0.21260017,-0.09321606,-0.34371847,0.02963148,0.29688302,-0.14849374,-0.1002506,-0.14818266,0.07282093,-0.16774826,0.076651424,0.21950074,-0.14284931,0.29615217
1998,0.35701007,0.16321766,0.024501456,0.0269094,0.5369904,0.23118056,0.1463204,0.28643513,0.2198769,0.023913193,-0.068287306,-0.07828842,0.49128667,0.27486253,0.39856774,0.42485058,0.31641793,0.19299501,-0.15340614,-0.087299556,-0.33250862,-0.39067,-0.2881642,-0.09271893,-0.46982408,0.06953923,0.38431638,-0.13630827,0.055254564,-0.10220161,0.14998806,-0.28029457,0.11982125,0.23719323,-0.11737198,0.35701448
1999,0.2636609,0.07930425,0.04522546,0.064232424,0.3502874,0.20517267,0.18626055,0.33082396,0.07095765,-0.02246111,-0.13735196,-0.13568486,0.3742814,0.2533838,0.34712392,0.44354385,0.1833108,0.05452323,-0.15761963,-0.07610177,-0.21843545,-0.16402686,-0.20830962,-0.027157485,-0.34093043,0.056727666,0.24849963,-0.015071824,0.12565129,-0.113223754,0.19016007,-0.13062501,0.13551237,0.15336837,-0.017856002,0.28888074
2000,0.31101418,0.13250759,-0.03971625,0.0711222,0.3777206,0.24606451,0.15549216,0.3255726,0.20893058,0.025179699,-0.10529353,-0.10710909,0.43746462,0.27252042,0.350613,0.40059483,0.16275488,0.07933154,-0.15905754,-0.062306978,-0.35073042,-0.22222844,-0.31422412,-0.08685163,-0.32181242,0.040407564,0.29957697,-0.061385393,0.079508096,-0.13228878,0.12807441,-0.14163852,0.13056095,0.18888737,-0.058326423,0.31944832
2001,0.289351,0.15120275,-0.05236365,0.02110269,0.43786073,0.24526033,0.13023624,0.32289845,0.08953196,0.034782574,-0.167173,-0.118980974,0.3800258,0.24390113,0.3006601,0.42064983,0.19867447,0.0808868,-0.24257505,-0.07621583,-0.34171462,-0.3076245,-0.25670496,-0.0793657,-0.44124952,-0.006243071,0.2790888,-0.13010007,0.07763812,-0.15376355,0.1767487,-0.15710264,0.11661506,0.1989824,-0.082367346,0.31559747
2002,0.2656805,0.112141855,0.018751044,0.055591248,0.53443867,0.37013093,0.10196467,0.2525673,0.22430658,0.11339343,-0.13909325,-0.13950455,0.52227795,0.29852644,0.35410678,0.42361456,0.21482751,0.078005694,-0.19159546,-0.05899958,-0.24692945,-0.43247402,-0.36339983,-0.16817117,-0.40642297,0.028826755,0.35230625,-0.056550607,-0.117563635,-0.25289798,0.12508813,-0.13700527,0.105872266,0.25110617,-0.1452339,0.35697845
2003,0.29959276,0.12793891,-0.0012153313,0.0122028515,0.43036598,0.25352022,0.14828819,0.29278466,0.1475207,0.09267977,-0.22750448,-0.17686355,0.26492494,0.11604368,0.300637,0.36563656,0.11248154,0.07272367,-0.21606582,-0.0829312,-0.3008081,-0.2820778,-0.37502518,0.035712063,-0.32854736,0.0008279115,0.25097722,-0.11573606,0.03926444,-0.26954332,0.24959287,-0.15565488,0.09318625,0.18221204,-0.08902579,0.27539828
2004,0.30134302,0.15500107,0.017415423,0.051247336,0.30757862,0.1746673,0.15836386,0.26533037,0.017517835,0.03870309,-0.113019764,-0.15546882,0.33604985,0.12181152,0.36299604,0.37175483,0.118945874,0.01782947,-0.14388111,-0.070782974,-0.2839276,-0.14921476,-0.1305376,0.026946187,-0.26282698,0.05637489,0.21628705,-0.10375374,0.090663075,-0.1941719,0.24994332,-0.088612445,0.103407435,0.13593183,-0.0325244,0.23933926
