year,old_care_vir,young_care_vir,old_care_vic,young_care_vic,old_fare_vir,young_fare_vir,old_fare_vic,young_fare_vic,old_loya_vir,young_loya_vir,old_loya_vic,young_loya_vic,old_auth_vir,young_auth_vir,old_auth_vic,young_auth_vic,old_sanc_vir,young_sanc_vir,old_sanc_vic,young_sanc_vic,old_care,old_fare,old_loya,old_auth,old_sanc,old_virtue,old_vice,young_care,young_fare,young_loya,young_auth,young_sanc,young_virtue,young_vice
1961,-0.050265,0.08839129,0.4040575,0.25194928,-0.24967326,-0.13068134,0.050394047,0.029193595,-0.10803718,0.11480816,0.09472713,-0.0008343272,-0.16094127,-0.16070983,-0.19407654,-0.14884928,0.039924808,0.17306705,-0.07464597,-0.038827978,0.4040575,0.050394047,0.09472713,-0.19407654,-0.07464597,-0.10579837560653686,0.05609124302864075,0.25194928,0.029193595,-0.0008343272,-0.14884928,-0.038827978,0.016975066065788268,0.018526263535022736
1962,-0.05736762,0.0683445,0.30765417,0.22016671,-0.2412006,-0.11565176,-0.04068227,-0.020420484,-0.11393339,0.117617995,0.2738122,0.19366278,-0.10000852,-0.11612349,-0.1556064,-0.16203997,0.05091733,0.19027895,0.004825644,-0.008385869,0.30765417,-0.04068227,0.2738122,-0.1556064,0.004825644,-0.09231855869293212,0.07800067663192749,0.22016671,-0.020420484,0.19366278,-0.16203997,-0.008385869,0.02889323830604553,0.044596636295318605
1963,-0.10620784,0.032304764,0.31358594,0.13598281,-0.23800926,-0.119571775,-0.10318987,-0.0784692,-0.16214508,0.0034497716,0.10462631,-0.027112134,-0.121748365,-0.0894645,0.023677155,-0.09971762,0.06808528,0.19725795,-0.0044433624,-0.04520245,0.31358594,-0.10318987,0.10462631,0.023677155,-0.0044433624,-0.11200506687164306,0.06685123443603516,0.13598281,-0.0784692,-0.027112134,-0.09971762,-0.04520245,0.004795241355895996,-0.022903718054294586
1964,-0.09095622,0.05706715,0.14242493,-0.008115787,-0.31358296,-0.16331649,-0.13419084,-0.059001677,-0.2109353,0.009727776,0.08527516,0.040952846,-0.29020503,-0.18067238,-0.19778536,-0.19746104,0.031552657,0.15099886,-0.054392602,-0.06940919,0.14242493,-0.13419084,0.08527516,-0.19778536,-0.054392602,-0.1748253583908081,-0.031733745336532594,-0.008115787,-0.059001677,0.040952846,-0.19746104,-0.06940919,-0.025239014625549318,-0.058606970310211184
1965,-0.041151155,0.08302502,0.14054418,-0.08800418,-0.2782747,-0.16396153,-0.07443201,-0.030106805,-0.18413,0.053529125,-0.028242797,-0.04834,-0.15307434,-0.16304031,-0.23148303,-0.19992453,-0.033848666,0.05642116,-0.1704346,-0.13060687,0.14054418,-0.07443201,-0.028242797,-0.23148303,-0.1704346,-0.13809576034545898,-0.07280964851379394,-0.08800418,-0.030106805,-0.04834,-0.19992453,-0.13060687,-0.026805305480957033,-0.09939647912979126
1966,0.07271709,0.012296636,0.12226689,-0.09865275,-0.23449585,-0.16033405,0.11873177,0.0925446,-0.26301283,-0.0810911,-0.14951973,-0.11894691,-0.102371715,0.036063313,-0.25624448,-0.17538886,-0.054798484,0.011819828,-0.26570702,-0.1561503,0.12226689,0.11873177,-0.14951973,-0.25624448,-0.26570702,-0.11639235019683838,-0.08609451055526733,-0.09865275,0.0925446,-0.11894691,-0.17538886,-0.1561503,-0.03624907433986664,-0.09131884574890137
1967,0.08661693,0.10648769,0.16478871,0.1228212,-0.1725786,-0.063309856,0.0025672112,0.13636728,-0.13477176,0.09666066,-0.10988188,-0.14480135,-0.16188625,-0.15789859,-0.2677124,-0.2173582,0.040266298,0.12750582,-0.25167865,-0.16522904,0.16478871,0.0025672112,-0.10988188,-0.2677124,-0.25167865,-0.06847067475318909,-0.09238340258598328,0.1228212,0.13636728,-0.14480135,-0.2173582,-0.16522904,0.0218891441822052,-0.05364001989364624
1968,0.074525714,0.06436496,0.25870162,0.31687796,-0.26703793,0.01139248,-0.04682064,0.1461626,-0.12749419,0.024147015,0.026334267,0.007308714,-0.047415994,0.103147335,-0.3046302,-0.22706369,0.013400136,0.11657471,-0.2402699,-0.20117563,0.25870162,-0.04682064,0.026334267,-0.3046302,-0.2402699,-0.07080445289611817,-0.06133697032928467,0.31687796,0.1461626,0.007308714,-0.22706369,-0.20117563,0.06392530202865601,0.008421993255615235
1969,0.1071437,0.095103815,0.35825253,0.12831822,-0.19333492,-0.12509364,-0.024660902,0.085405976,-0.15336058,-0.032678805,0.028396212,-0.17325652,-0.070780054,0.0010844022,-0.24105667,-0.19723308,0.05015162,-0.02159629,-0.111059114,-0.0643942,0.35825253,-0.024660902,0.028396212,-0.24105667,-0.111059114,-0.05203604698181152,0.001974409818649292,0.12831822,0.085405976,-0.17325652,-0.19723308,-0.0643942,-0.01663610339164734,-0.044231921434402466
1970,0.08173978,0.19328462,0.19705066,0.005647421,-0.18462712,-0.022219475,-0.058823578,0.067530856,-0.15223779,0.078170955,0.2164551,-0.013096392,0.0045086853,0.06715244,-0.22383799,-0.16221496,-0.003414292,-0.022108816,-0.12820135,-0.15975448,0.19705066,-0.058823578,0.2164551,-0.22383799,-0.12820135,-0.05080614686012268,0.0005285680294036865,0.005647421,0.067530856,-0.013096392,-0.16221496,-0.15975448,0.05885594487190247,-0.052377510070800784
1971,-0.057641096,0.1667563,0.126351,-0.043555852,-0.23149574,-0.0478156,0.031432558,0.21049632,-0.12851389,0.1517562,0.07443713,-0.013173394,0.08797052,0.1551542,-0.15418276,-0.107565716,-0.106706224,0.042976283,-0.14957467,-0.06298894,0.126351,0.031432558,0.07443713,-0.15418276,-0.14957467,-0.08727728128433228,-0.014307349920272827,-0.043555852,0.21049632,-0.013173394,-0.107565716,-0.06298894,0.09376547932624817,-0.00335751473903656
1972,-0.04591334,0.08236669,0.11654137,-0.107000604,-0.28162444,-0.13490842,-0.059021443,0.012220494,-0.22137533,0.11181231,0.048176065,-0.04976795,-0.053203046,-0.018286364,-0.15942998,-0.12781318,-0.07486038,0.03514502,-0.13069627,-0.12939876,0.11654137,-0.059021443,0.048176065,-0.15942998,-0.13069627,-0.13539531230926513,-0.036886051297187805,-0.107000604,0.012220494,-0.04976795,-0.12781318,-0.12939876,0.015225845575332641,-0.08035199642181397
