,year,tight,loose,indi,coll
37,1987,0.0022212901069776437,0.0029811147414665457,0.0007510217378694506,0.0008231104354438555
38,1988,0.0023260160987774725,0.003034888279109677,0.0007999724860598333,0.0008349080174119601
39,1989,0.0024097425723864163,0.0030780986914916548,0.0008554298571965546,0.0008483522490061139
40,1990,0.0024701655720491544,0.0031206021015073304,0.0009395141487991461,0.0008639277552577239
41,1991,0.002512781394346218,0.003136040992425926,0.0010109100854427716,0.000869854126246342
42,1992,0.002550377877014398,0.003118897296895692,0.0010690598311648663,0.0008683044231848466
43,1993,0.00256868923575634,0.003111146715759056,0.0011233249623724564,0.000871950480399976
44,1994,0.0025481468098535387,0.0031185812461421237,0.0012047195598390609,0.0008579890783023204
45,1995,0.0025008994297032977,0.0031309309357502152,0.0012874538336445443,0.0008385520361408842
46,1996,0.0024710689393551938,0.003116856131110473,0.0013549980676056553,0.0008170127884779634
47,1997,0.002442452751763215,0.003094675621423499,0.001416320892173774,0.000790954834956535
48,1998,0.002435717975848612,0.003134152224282768,0.0015208955637535024,0.0007714751830738871
49,1999,0.0024189167784892823,0.0031806677155254348,0.0016335989008869742,0.00075879796563478
50,2000,0.002404563781705552,0.00322372393597473,0.0017615226961627936,0.0007501364371478303
51,2001,0.002378164115855595,0.0032353907668549097,0.0018542973899359691,0.0007522826433858297
52,2002,0.0023761799878099866,0.003191193877050326,0.0019319438841348205,0.0007515432575197727
53,2003,0.00239540799092148,0.0031296816082083518,0.002001122714598783,0.0007571383239987231
54,2004,0.0023902210336278324,0.0030787995711880306,0.00205439820892041,0.000752726223116237
55,2005,0.0023503303538226256,0.0030218071162094262,0.002069966570108558,0.0007482893467535437
56,2006,0.0023257405078506315,0.0029798850163878904,0.002090730564581073,0.000747097920728785
57,2007,0.0022803915808253805,0.0028902946446921008,0.002075179146231676,0.0007379027654183444
58,2008,0.002202076185052907,0.002738540077776059,0.002052016810962089,0.0007156211435902346
59,2009,0.0021158146448994686,0.0026156764310254488,0.002003863083790033,0.0006905724073728184
60,2010,0.002026579353566506,0.0024873143894885074,0.0018580891753003925,0.000675695461800225
61,2011,0.001964796610081976,0.002380738330605782,0.0017760906509839255,0.0006520492180024055
62,2012,0.0018458143328773855,0.0022917474106622293,0.00165517932562612,0.0006453502385487095
63,2013,0.0017543968095716472,0.002192800024115371,0.0014517045583488652,0.0006257733888535963
64,2014,0.0016817877871549822,0.002097274027720784,0.0013329028800269174,0.000626147847088175
65,2015,0.0017202791646663432,0.002191108696126471,0.0013974091959231113,0.0006820609939787963
66,2016,0.0016437387533707287,0.0021348636703071933,0.0013059367685660358,0.0006806936227365311
67,2017,0.0015993961132304928,0.0021888936337640295,0.0013629821647403635,0.0006784729505871686
68,2018,0.0015466065412510944,0.002216712496662865,0.0013300892355800897,0.0007021462724310368
69,2019,0.0015996245384712893,0.0021603990030154563,0.001340486939625407,0.0007093424976147844
